id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
4535,6187.6294,1678.8092,0.53696146,0.051544204,-0.034097338,25,0,32,5.6992536,-1.8895449
4536,5817.2838,1679.8346,0.46296218,-0.23944274,-0.37391437,25,0,7,1.3089534,-0.29231047
4537,6242.4723,1679.6688,0.52817524,-0.90009308,-0.090833502,25,0,6,1.0899718,-0.093538136
4538,8535.4213,1680.0507,0.54023783,0.48276564,0.1526908,25,0,19,2.4397423,-0.9683599
4539,4257.4786,1681.6232,0.53423963,0.39727169,0.13453435,25,0,35,6.0118685,-1.9475237
4540,4463.1054,1680.5585,0.53816961,-0.33974218,-0.27411564,25,0,8,1.4356902,-0.39265181
4541,4580.6163,1680.7502,0.39414632,0.036233205,0.16994055,25,0,4,1.0378056,-0.04028998
4542,5336.1333,1680.868,0.53995526,-0.14378871,-0.22262078,25,0,22,3.815846,-1.4539771
4543,5454.5895,1680.7506,0.47425659,-0.50290781,-0.23588627,25,0,30,5.8139024,-1.9111693
4544,7236.702,1681.6012,0.50839574,-0.29165679,0.047025653,25,0,14,2.3243546,-0.91575598
4545,3271.9521,1681.8412,0.54592726,-0.16750127,0.10994365,25,0,31,5.3281465,-1.8164404
4546,5637.747,1682.4629,0.42857865,0.38100269,-0.20911349,25,0,16,3.1107266,-1.2321546
4547,6129.5342,1681.9487,0.50300919,-0.26782298,-0.13648286,25,0,31,5.4514542,-1.8412809
4548,7779.7712,1683.3349,0.31686964,-0.29398847,0.10515482,25,0,6,1.0518451,-0.054879443
4549,2254.6698,1684.1286,0.59676702,-0.10611338,0.011458783,25,0,9,1.4216508,-0.38198231
4550,3598.3101,1683.7434,0.5165787,-0.30848131,0.087750116,25,0,25,4.6337256,-1.6648258
4551,3715.4138,1683.5929,0.51312364,-0.41204154,0.054193449,25,0,120,20.992168,-3.3051433
4552,4329.5436,1683.6075,0.44561111,-0.3490127,-0.06896617,25,0,5,1.1899309,-0.18880437
4553,5837.8693,1684.4429,0.4934415,-0.15969153,-0.039152247,25,0,31,5.7413716,-1.8975391
4554,6539.1113,1683.8657,0.52634322,-0.10582399,0.0022432034,25,0,41,6.7928605,-2.0801317
4555,8911.5619,1683.9687,0.45374028,0.86436462,0.55148684,25,0,38,5.1752825,-1.7848351
4556,4778.7865,1684.9493,0.50658862,-0.063181646,0.13582418,25,0,17,3.2896295,-1.2928675
4557,7805.6386,1684.9868,0.41135506,0.15834998,0.080098443,25,0,8,1.4363408,-0.39314375
4558,679.68781,1687.6281,0.50677432,-0.6624428,0.45821144,25,0,10,1.3751591,-0.3458824
4559,1901.6325,1685.8349,0.42587179,-0.19030389,0.23909428,25,0,28,4.1977139,-1.5575321
4560,4688.1734,1685.6427,0.67771327,0.40282607,0.029135839,25,0,9,1.587165,-0.50155519
4561,6940.9933,1686.2302,0.61496768,0.44528982,-0.005631919,25,0,9,1.5520223,-0.47724492
